line_code,week_number,disruption_count,avg_severity,avg_duration_hours,pct_planned,log_avg_duration_hours,n_scheduled_trips,avg_run_time_minutes,n_avl_observations,avg_delay_minutes,total_disruptions_all_weeks,avg_fare
10,15,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,15,1,3.0,40.01,1.0,3.713815939403968,223,1.2,11,25.13,4,3.41
NS9,15,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,15,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,15,1,3.0,30.14,1.0,3.4384931664058525,65,0.94,2,34.78,6,3.0
900,15,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
13,15,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,15,2,1.0,1.8900000000000001,0.0,1.061256502124341,177,1.2,7,24.85,5,2.44
S9,15,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,15,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,15,1,3.0,12.43,1.0,2.5974910105351463,7,1.75,2,46.15,5,3.87
S1,15,1,2.0,6.17,1.0,1.969905654611529,309,1.57,30,59.73,5,3.77
2,15,0,0.0,0.0,0.0,0.0,423,1.14,24,27.01,6,7.08
800,16,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,16,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,16,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,16,1,1.0,2.46,1.0,1.2412685890696329,50,1.89,4,75.96,7,4.35
29,16,1,5.0,291.27,0.0,5.677678032570093,67,1.63,4,19.35,6,3.06
8,16,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,16,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,16,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,16,1,1.0,1.26,1.0,0.8153648132841945,162,1.24,27,71.74,6,3.49
X4,16,1,2.0,2.14,1.0,1.144222799920162,8,1.66,1,96.22,3,3.95
S4,16,1,1.0,0.67,0.0,0.5128236264286637,80,1.4,14,68.94,6,4.0
NS1,16,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,16,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,16,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,16,0,0.0,0.0,0.0,0.0,355,1.2,15,32.45,7,1.64
H5,16,0,0.0,0.0,0.0,0.0,57,1.89,5,36.4,5,3.71
B3,16,2,3.5,88.38,0.5,4.492896943505305,124,1.04,1,26.42,7,1.82
25,16,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,16,0,0.0,0.0,0.0,0.0,65,1.37,2,35.4,6,3.16
B9,16,0,0.0,0.0,0.0,0.0,272,1.16,9,24.42,7,1.86
B10,16,1,1.0,0.7,0.0,0.5306282510621704,20,2.25,2,11.03,6,1.65
TUBE,16,1,3.0,29.09,1.0,3.404192890641954,559,6.97,52,100.54,6,14.43
500,16,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,16,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,16,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,16,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,16,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,16,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,16,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,16,1,1.0,1.22,1.0,0.7975071958841881,110,1.78,8,37.04,5,1.67
E1,16,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,16,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,16,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,16,1,3.0,14.4,0.0,2.7343675094195836,65,0.94,2,34.78,6,3.0
900,16,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
13,16,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,16,1,4.0,155.42,1.0,5.052544697173465,177,1.2,7,24.85,5,2.44
S9,16,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,16,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,16,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,16,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,16,1,1.0,1.66,0.0,0.9783261227936076,423,1.14,24,27.01,6,7.08
800,17,1,4.0,90.52,1.0,4.5165575276314875,134,1.94,12,63.91,4,1.73
S2X,17,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,17,1,3.0,5.21,0.0,1.8261608959453874,60,1.47,1,19.79,2,3.23
200,17,1,2.0,4.66,0.0,1.7334238922150915,50,1.89,4,75.96,7,4.35
29,17,0,0.0,0.0,0.0,0.0,67,1.63,4,19.35,6,3.06
8,17,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,17,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,17,1,4.0,78.57,1.0,4.3766371373894435,57,1.91,4,60.98,5,3.91
S7,17,0,0.0,0.0,0.0,0.0,162,1.24,27,71.74,6,3.49
X4,17,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,17,0,0.0,0.0,0.0,0.0,80,1.4,14,68.94,6,4.0
NS1,17,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,17,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,17,1,2.0,5.4,1.0,1.8562979903656263,193,1.59,20,84.44,4,3.84
2A,17,1,2.0,6.59,0.0,2.0268315914075385,355,1.2,15,32.45,7,1.64
H5,17,0,0.0,0.0,0.0,0.0,57,1.89,5,36.4,5,3.71
B3,17,0,0.0,0.0,0.0,0.0,124,1.04,1,26.42,7,1.82
25,17,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,17,0,0.0,0.0,0.0,0.0,65,1.37,2,35.4,6,3.16
B9,17,0,0.0,0.0,0.0,0.0,272,1.16,9,24.42,7,1.86
B10,17,0,0.0,0.0,0.0,0.0,20,2.25,2,11.03,6,1.65
TUBE,17,2,2.5,77.96000000000001,0.5,4.368941395125226,559,6.97,52,100.54,6,14.43
500,17,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,17,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,17,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,17,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,17,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,17,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,17,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,17,2,2.0,5.275,1.0,1.8365734850178477,110,1.78,8,37.04,5,1.67
E1,17,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,17,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,17,1,4.0,155.69,1.0,5.054269331116317,212,1.56,7,15.49,1,1.57
N1,17,0,0.0,0.0,0.0,0.0,65,0.94,2,34.78,6,3.0
900,17,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
13,17,1,3.0,19.93,0.0,3.0411835364579085,197,1.58,25,41.37,2,1.48
14,17,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,17,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,17,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,17,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,17,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,17,0,0.0,0.0,0.0,0.0,423,1.14,24,27.01,6,7.08
800,18,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,18,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,18,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,18,0,0.0,0.0,0.0,0.0,50,1.89,4,75.96,7,4.35
29,18,0,0.0,0.0,0.0,0.0,67,1.63,4,19.35,6,3.06
8,18,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,18,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,18,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,18,1,2.0,3.87,1.0,1.5830939370944985,162,1.24,27,71.74,6,3.49
X4,18,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,18,1,3.0,22.75,1.0,3.16758253048065,80,1.4,14,68.94,6,4.0
NS1,18,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,18,1,4.0,124.4,1.0,4.83150862819882,47,1.39,1,14.25,4,2.27
S3,18,1,4.0,141.42,1.0,4.958780438553979,193,1.59,20,84.44,4,3.84
2A,18,1,3.0,7.6,1.0,2.151762203259462,355,1.2,15,32.45,7,1.64
H5,18,0,0.0,0.0,0.0,0.0,57,1.89,5,36.4,5,3.71
B3,18,0,0.0,0.0,0.0,0.0,124,1.04,1,26.42,7,1.82
25,18,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,18,0,0.0,0.0,0.0,0.0,65,1.37,2,35.4,6,3.16
B9,18,1,1.0,1.55,1.0,0.9360933591703348,272,1.16,9,24.42,7,1.86
B10,18,1,1.0,2.61,1.0,1.2837077723447896,20,2.25,2,11.03,6,1.65
TUBE,18,2,5.0,185.485,0.5,5.2283508068948645,559,6.97,52,100.54,6,14.43
500,18,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,18,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,18,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,18,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,18,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,18,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,18,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,18,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,18,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,18,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,18,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,18,1,2.0,2.92,0.0,1.366091653802371,65,0.94,2,34.78,6,3.0
900,18,1,1.0,2.78,1.0,1.3297240096314962,120,2.0,7,39.23,5,1.68
13,18,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,18,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,18,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,18,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,18,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,18,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,18,1,2.0,4.16,1.0,1.6409365794934714,423,1.14,24,27.01,6,7.08
800,19,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,19,1,4.0,65.31,1.0,4.194340715380776,4,3.13,3,55.4,5,3.87
234,19,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,19,1,2.0,7.55,0.0,2.145931282948669,50,1.89,4,75.96,7,4.35
29,19,2,1.5,2.62,0.5,1.2864740258376797,67,1.63,4,19.35,6,3.06
8,19,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,19,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,19,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,19,0,0.0,0.0,0.0,0.0,162,1.24,27,71.74,6,3.49
X4,19,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,19,0,0.0,0.0,0.0,0.0,80,1.4,14,68.94,6,4.0
NS1,19,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,19,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,19,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,19,0,0.0,0.0,0.0,0.0,355,1.2,15,32.45,7,1.64
H5,19,1,1.0,2.39,0.0,1.220829921392359,57,1.89,5,36.4,5,3.71
B3,19,0,0.0,0.0,0.0,0.0,124,1.04,1,26.42,7,1.82
25,19,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,19,0,0.0,0.0,0.0,0.0,65,1.37,2,35.4,6,3.16
B9,19,0,0.0,0.0,0.0,0.0,272,1.16,9,24.42,7,1.86
B10,19,0,0.0,0.0,0.0,0.0,20,2.25,2,11.03,6,1.65
TUBE,19,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,19,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,19,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,19,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,19,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,19,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,19,1,1.0,2.08,1.0,1.1249295969854831,21,0.78,1,27.12,3,3.0
S5,19,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,19,1,3.0,31.94,1.0,3.4946877247494945,110,1.78,8,37.04,5,1.67
E1,19,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,19,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,19,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,19,1,3.0,44.47,1.0,3.8170527678369193,65,0.94,2,34.78,6,3.0
900,19,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
13,19,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,19,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,19,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,19,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,19,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,19,1,3.0,23.26,1.0,3.1888289035159043,309,1.57,30,59.73,5,3.77
2,19,1,3.0,21.72,1.0,3.1232455938529506,423,1.14,24,27.01,6,7.08
800,20,1,1.0,1.96,0.0,1.085189268335969,134,1.94,12,63.91,4,1.73
S2X,20,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,20,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,20,0,0.0,0.0,0.0,0.0,50,1.89,4,75.96,7,4.35
29,20,0,0.0,0.0,0.0,0.0,67,1.63,4,19.35,6,3.06
8,20,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,20,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,20,2,3.0,74.62,0.5,4.325720798462787,57,1.91,4,60.98,5,3.91
S7,20,1,4.0,163.14,0.0,5.100719722201566,162,1.24,27,71.74,6,3.49
X4,20,1,4.0,37.92,0.0,3.6615082573178044,8,1.66,1,96.22,3,3.95
S4,20,1,3.0,21.51,0.0,3.113959654918641,80,1.4,14,68.94,6,4.0
NS1,20,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,20,1,1.0,2.88,0.0,1.355835153635182,47,1.39,1,14.25,4,2.27
S3,20,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,20,1,3.0,22.44,1.0,3.154443964708812,355,1.2,15,32.45,7,1.64
H5,20,0,0.0,0.0,0.0,0.0,57,1.89,5,36.4,5,3.71
B3,20,1,1.0,2.21,1.0,1.1662709371419244,124,1.04,1,26.42,7,1.82
25,20,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,20,0,0.0,0.0,0.0,0.0,65,1.37,2,35.4,6,3.16
B9,20,1,1.0,2.46,1.0,1.2412685890696329,272,1.16,9,24.42,7,1.86
B10,20,1,3.0,16.66,1.0,2.8713021951758138,20,2.25,2,11.03,6,1.65
TUBE,20,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,20,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,20,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,20,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,20,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,20,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,20,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,20,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,20,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,20,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,20,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,20,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,20,0,0.0,0.0,0.0,0.0,65,0.94,2,34.78,6,3.0
900,20,1,2.0,6.75,1.0,2.0476928433652555,120,2.0,7,39.23,5,1.68
13,20,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,20,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,20,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,20,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,20,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,20,2,2.5,4.91,0.5,1.776645831418007,309,1.57,30,59.73,5,3.77
2,20,0,0.0,0.0,0.0,0.0,423,1.14,24,27.01,6,7.08
800,21,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,21,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,21,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,21,1,4.0,46.72,0.0,3.8653505972297153,50,1.89,4,75.96,7,4.35
29,21,0,0.0,0.0,0.0,0.0,67,1.63,4,19.35,6,3.06
8,21,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,21,1,1.0,1.04,1.0,0.712949807856125,122,1.43,1,22.43,2,1.75
488,21,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,21,0,0.0,0.0,0.0,0.0,162,1.24,27,71.74,6,3.49
X4,21,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,21,0,0.0,0.0,0.0,0.0,80,1.4,14,68.94,6,4.0
NS1,21,1,2.0,3.3,1.0,1.4586150226995167,16,1.3,1,72.82,3,3.0
26,21,1,2.0,4.58,0.0,1.7191887763932197,47,1.39,1,14.25,4,2.27
S3,21,1,4.0,50.25,1.0,3.9367156180185177,193,1.59,20,84.44,4,3.84
2A,21,0,0.0,0.0,0.0,0.0,355,1.2,15,32.45,7,1.64
H5,21,0,0.0,0.0,0.0,0.0,57,1.89,5,36.4,5,3.71
B3,21,1,3.0,45.32,0.0,3.83557383326474,124,1.04,1,26.42,7,1.82
25,21,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,21,0,0.0,0.0,0.0,0.0,65,1.37,2,35.4,6,3.16
B9,21,0,0.0,0.0,0.0,0.0,272,1.16,9,24.42,7,1.86
B10,21,1,1.0,2.58,1.0,1.275362800412609,20,2.25,2,11.03,6,1.65
TUBE,21,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,21,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,21,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,21,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,21,1,2.0,7.05,0.0,2.085672091430472,103,1.6,7,37.07,5,1.58
1,21,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,21,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,21,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,21,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,21,0,0.0,0.0,0.0,0.0,223,1.2,11,25.13,4,3.41
NS9,21,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,21,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,21,1,4.0,35.0,0.0,3.58351893845611,65,0.94,2,34.78,6,3.0
900,21,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
